3PM,APG,BPG,FGP,FTP,MPG,PPG,RPG,SPG,TPG,NAME
0.0,2.1,1,58.7,47.2,18.9,7.2,5.6,1.1,1.5,Mason Plumlee
0.0,1,0.7,62.4,71.1,15.1,6,4.9,0.2,0.8,Jakob Poeltl
1.4,2,0.6,48.7,78.1,29.4,11.7,5.6,1.5,0.9,Otto Porter Jr.
0.7,1.2,0.8,41.3,68.2,24.3,11.9,8,0.4,1.4,Bobby Portis
0.3,1,0.6,58.3,76.8,16.3,8.6,4.1,0.6,1,Dwight Powell
0.7,1.1,0.1,49.1,70,15.7,5.2,2,0.5,0.9,Norman Powell
0.4,0.8,0.4,53.1,47.1,15.0,5,3.8,0.2,0.6,Alex Poythress
2.4,2.3,0.3,43.1,83.3,28.7,15,4,1.1,2.6,Taurean Prince
0.6,2.7,0.6,55.3,70.6,27.7,19.3,9.5,0.6,2.5,Julius Randle
2.7,3,0.2,43.9,93.3,30.6,18,2.2,0.2,1.4,JJ Redick
2.7,3.6,0.5,40.9,84,34.8,18.7,3.9,1.2,2,Josh Richardson
0.0,0.6,1.8,64,53.1,17.2,4.7,3.9,0.7,0.6,Mitchell Robinson
0.5,0.5,0.2,38.7,84.6,16.0,4.8,1.5,0.3,0.5,Glenn Robinson III
0.8,6.5,0,45.5,50,25.2,8.5,4.5,1.2,2.3,Rajon Rondo
1.5,4.6,0.3,48.5,84.2,29.2,18.5,2.8,0.6,1.8,Derrick Rose
2.1,1.6,0.4,44.1,84.4,25.6,13.5,2.7,0.9,1.1,Terrence Ross
1.4,2.6,0.3,37.8,73,23.1,8.5,4,0.9,0.9,Terry Rozier
1.3,6.1,0.2,38.5,84.7,29.8,12.5,3.6,1.4,3.1,Ricky Rubio
2.4,6.2,0.3,41.8,75.4,29.1,17.5,3.7,1.2,2.8,D'Angelo Russell
0.2,2.9,0.5,62.3,75,24.5,14.2,9.6,0.6,2.5,Domantas Sabonis
1.3,1.7,0.1,49.7,90.3,24.1,11.1,5.9,0.6,0.9,Dario Saric
